customer_name,age,country,gender,marital_status,period,total_sales,total_orders,total_products,customer_class,age_group,last_order,avg_order_value,avg_monthly_spend
"Trevor Bryant",57,"United States",Male,Single,27,17745,15,15,VIP,Middle-aged,145,1183.0000,657.2222
"Dalton Perez",63,Canada,Male,Married,9,1920,57,57,New,Senior,143,33.6842,213.3333
"Cheryl Diaz",53,Australia,Female,Married,21,17085,6,6,VIP,Middle-aged,155,2847.5000,813.5714
"Aimee He",47,Australia,Female,Married,26,17505,18,18,VIP,Middle-aged,150,972.5000,673.2692
"Cedric Ma",58,Australia,Male,Single,0,54,6,6,New,Middle-aged,143,9.0000,NULL
"Chad Kumar",57,Australia,Male,Single,26,17220,12,12,VIP,Middle-aged,150,1435.0000,662.3077
"Andr̩s Anand",57,Australia,Male,Married,27,17064,12,12,VIP,Middle-aged,148,1422.0000,632.0000
"Edwin Nara",53,Australia,Male,Married,27,17220,12,12,VIP,Middle-aged,149,1435.0000,637.7778
"Adam Ross",59,Australia,Male,Married,22,17085,6,6,VIP,Middle-aged,153,2847.5000,776.5909
"Latasha Navarro",59,Australia,Female,Single,23,17157,9,9,VIP,Middle-aged,153,1906.3333,745.9565
"Abby Sai",55,Australia,Female,Single,26,17232,9,9,VIP,Middle-aged,150,1914.6667,662.7692
"Cassie Chande",44,Australia,Female,Single,25,17292,15,15,VIP,Middle-aged,150,1152.8000,691.6800
"Edgar Sara",50,Australia,Male,Married,20,17085,6,6,VIP,Middle-aged,155,2847.5000,854.2500
"Candace Fernandez",55,Australia,Female,Single,19,17085,6,6,VIP,Middle-aged,155,2847.5000,899.2105
"Jessie Liu",55,Australia,Male,Single,19,17085,6,6,VIP,Middle-aged,155,2847.5000,899.2105
"Bianca Lin",49,Australia,Female,Married,25,17505,18,18,VIP,Middle-aged,150,972.5000,700.2000
"Kari Alvarez",56,Australia,Female,Single,25,17220,12,12,VIP,Middle-aged,150,1435.0000,688.8000
"Ruben Kapoor",45,Australia,Male,Single,25,17064,12,12,VIP,Middle-aged,150,1422.0000,682.5600
"Curtis Yang",58,Australia,Male,Married,22,17085,6,6,VIP,Middle-aged,153,2847.5000,776.5909
"Meredith Gutierrez",58,Australia,Female,Married,21,17139,12,12,VIP,Middle-aged,153,1428.2500,816.1429
"Crystal Wang",57,Australia,Female,Married,27,17295,12,12,VIP,Middle-aged,147,1441.2500,640.5556
"Micheal Blanco",52,Australia,Male,Married,0,210,6,6,New,Middle-aged,154,35.0000,NULL
"Leslie Moreno",58,Australia,Female,Single,5,420,12,12,New,Middle-aged,144,35.0000,84.0000
"Clinton Carlson",46,Australia,Male,Married,0,210,6,6,New,Middle-aged,149,35.0000,NULL
"April Deng",59,Australia,Female,Married,25,17424,18,18,VIP,Middle-aged,150,968.0000,696.9600
"Evan James",85,Australia,Male,Single,0,300,6,6,New,Senior,145,50.0000,NULL
"Beth Jim̩nez",83,Australia,Female,Single,23,17292,15,15,VIP,Senior,152,1152.8000,751.8261
"Philip Alvarez",60,Australia,Male,Married,0,210,6,6,New,Senior,143,35.0000,NULL
"Ross Jordan",57,Australia,Male,Single,25,17295,12,12,VIP,Middle-aged,150,1441.2500,691.8000
"Dana Navarro",64,Australia,Female,Single,0,72,3,3,New,Senior,153,24.0000,NULL
"Shaun Carson",71,Australia,Male,Married,0,10200,3,3,New,Senior,175,3400.0000,NULL
"Samantha Long",44,"United States",Female,Married,1,510,12,12,New,Middle-aged,148,42.5000,510.0000
"Julia Wright",44,"United States",Female,Single,17,17619,6,6,VIP,Middle-aged,155,2936.5000,1036.4118
"Amanda Rivera",40,Canada,Female,Married,3,354,12,12,New,Middle-aged,143,29.5000,118.0000
"Melissa Richardson",39,Canada,Female,Single,0,6885,3,3,New,Adult,152,2295.0000,NULL
"Larry Townsend",68,Australia,Male,Single,0,10200,3,3,New,Senior,175,3400.0000,NULL
"Marcus Harris",40,"United States",Male,Single,0,6960,3,3,New,Middle-aged,152,2320.0000,NULL
"Brianna Morgan",41,Canada,Female,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Lauren Davis",41,"United States",Female,Married,0,210,6,6,New,Middle-aged,147,35.0000,NULL
"Tanya Moreno",76,Australia,Female,Single,0,354,12,12,New,Senior,147,29.5000,NULL
"Nicole Ramirez",43,"United States",Female,Married,4,420,12,12,New,Middle-aged,147,35.0000,105.0000
"Eduardo Patterson",42,Canada,Male,Single,10,1986,57,57,New,Middle-aged,143,34.8421,198.6000
"Edward Hernandez",40,"United States",Male,Single,0,7185,9,9,New,Middle-aged,155,798.3333,NULL
"Jasmine Coleman",40,"United States",Female,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Karla Goel",80,Australia,Female,Single,0,54,6,6,New,Senior,154,9.0000,NULL
"Ernest Wu",81,Australia,Male,Married,29,17577,21,21,VIP,Senior,146,837.0000,606.1034
"Ross Vazquez",78,Australia,Male,Married,0,210,6,6,New,Senior,144,35.0000,NULL
"Theodore Gill",79,Australia,Male,Married,0,54,6,6,New,Senior,145,9.0000,NULL
"Russell Shen",79,Australia,Male,Single,3,546,21,21,New,Senior,149,26.0000,182.0000
"Melinda Gill",78,Australia,Female,Single,29,17064,12,12,VIP,Senior,146,1422.0000,588.4138
"James Williams",44,"United States",Male,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Megan Walker",43,"United States",Female,Single,0,6960,3,3,New,Middle-aged,155,2320.0000,NULL
"Hunter Robinson",44,"United States",Male,Single,0,6960,3,3,New,Middle-aged,155,2320.0000,NULL
"Maria Roberts",44,"United States",Female,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Jason Wright",44,"United States",Male,Single,0,6960,3,3,New,Middle-aged,155,2320.0000,NULL
"Maurice Tang",46,"United States",Male,Single,0,6960,3,3,New,Middle-aged,154,2320.0000,NULL
"Emily Wood",46,"United States",Female,Single,0,210,6,6,New,Middle-aged,145,35.0000,NULL
"Chase Cox",46,"United States",Male,Single,0,7095,9,9,New,Middle-aged,154,788.3333,NULL
"Devin Brooks",46,"United States",Male,Single,0,210,6,6,New,Middle-aged,148,35.0000,NULL
"Ashley Martinez",48,"United States",Female,Single,0,210,6,6,New,Middle-aged,146,35.0000,NULL
"Jasmine Barnes",47,"United States",Female,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"David Rodriguez",52,"United States",Male,Single,10,7095,9,9,New,Middle-aged,145,788.3333,709.5000
"Bryce Richardson",52,"United States",Male,Married,0,210,6,6,New,Middle-aged,151,35.0000,NULL
"Carol Howard",52,"United States",Female,Married,0,564,18,18,New,Middle-aged,144,31.3333,NULL
"Jonathan Hill",47,"United States",Male,Single,16,17619,6,6,VIP,Middle-aged,155,2936.5000,1101.1875
"Gabrielle Adams",52,"United States",Female,Married,8,420,12,12,New,Middle-aged,143,35.0000,52.5000
"Luis Wang",57,"United States",Male,Single,16,17694,6,6,VIP,Middle-aged,155,2949.0000,1105.8750
"Mason Roberts",46,Canada,Male,Married,11,2940,81,81,New,Middle-aged,143,36.2963,267.2727
"Jose Flores",77,"United States",Male,Married,0,210,6,6,New,Senior,146,35.0000,NULL
"Nathan Johnson",71,"United States",Male,Married,0,210,6,6,New,Senior,154,35.0000,NULL
"Molly Rodriguez",66,"United States",Female,Married,0,282,9,9,New,Senior,143,31.3333,NULL
"April Anand",77,"United States",Female,Married,6,492,15,15,New,Senior,147,32.8000,82.0000
"Stephanie Torres",75,"United States",Female,Single,0,210,6,6,New,Senior,143,35.0000,NULL
"Ashley Henderson",75,Canada,Female,Single,10,3090,93,93,New,Senior,143,33.2258,309.0000
"Catherine Morris",75,"United States",Female,Married,0,210,6,6,New,Senior,145,35.0000,NULL
"Lawrence Blanco",75,"United States",Male,Single,17,17619,6,6,VIP,Senior,154,2936.5000,1036.4118
"Kristi Perez",74,"United States",Female,Single,26,17748,12,12,VIP,Senior,145,1479.0000,682.6154
"James Brown",74,"United States",Male,Married,3,420,12,12,New,Senior,147,35.0000,140.0000
"Jacqueline Price",75,"United States",Female,Married,0,282,9,9,New,Senior,144,31.3333,NULL
"Megan Henderson",74,"United States",Female,Married,0,282,9,9,New,Senior,146,31.3333,NULL
"Brooke Sanders",73,"United States",Female,Single,0,282,9,9,New,Senior,154,31.3333,NULL
"Jason Griffin",72,Canada,Male,Married,9,2502,72,72,New,Senior,144,34.7500,278.0000
"Amanda Foster",72,"United States",Female,Married,2,720,18,18,New,Senior,147,40.0000,360.0000
"Alexia Price",67,"United States",Female,Married,0,210,6,6,New,Senior,147,35.0000,NULL
"Luis Diaz",66,Canada,Male,Married,5,510,12,12,New,Senior,147,42.5000,102.0000
"Destiny Rivera",72,"United States",Female,Married,0,210,6,6,New,Senior,145,35.0000,NULL
"Blake Flores",71,"United States",Male,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Danielle Cox",71,"United States",Female,Single,0,210,6,6,New,Senior,154,35.0000,NULL
"Edward Wood",72,"United States",Male,Married,0,72,3,3,New,Senior,147,24.0000,NULL
"Samantha Russell",65,Canada,Female,Married,9,1476,45,45,New,Senior,145,32.8000,164.0000
"Chloe Campbell",70,Canada,Female,Married,11,1956,51,51,New,Senior,143,38.3529,177.8182
"Stephanie Murphy",71,"United States",Female,Single,0,210,6,6,New,Senior,147,35.0000,NULL
"Ana Perry",64,Canada,Female,Married,9,2148,60,60,New,Senior,145,35.8000,238.6667
"Jasmine Torres",70,"United States",Female,Single,17,17829,12,12,VIP,Senior,154,1485.7500,1048.7647
"Natalie Adams",70,"United States",Female,Single,18,17694,6,6,VIP,Senior,154,2949.0000,983.0000
"Alexandra Rivera",69,"United States",Female,Married,0,264,12,12,New,Senior,145,22.0000,NULL
"Hailey Patterson",68,Canada,Female,Single,10,3042,90,90,New,Senior,143,33.8000,304.2000
"Tiffany Li",68,"United States",Female,Single,27,18039,18,18,VIP,Senior,144,1002.1667,668.1111
"Madison Lee",63,"United States",Female,Married,0,54,6,6,New,Senior,147,9.0000,NULL
"Marshall Chavez",63,"United States",Male,Single,18,17619,6,6,VIP,Senior,154,2936.5000,978.8333
"Ashley Jones",69,"United States",Female,Married,0,210,6,6,New,Senior,143,35.0000,NULL
"Adrian Stewart",68,"United States",Male,Single,0,210,6,6,New,Senior,143,35.0000,NULL
"Todd Li",62,"United States",Male,Married,4,636,21,21,New,Senior,150,30.2857,159.0000
"Anna Griffin",67,"United States",Female,Single,0,210,6,6,New,Senior,154,35.0000,NULL
"Angel Stewart",68,"United States",Male,Married,6,492,15,15,New,Senior,143,32.8000,82.0000
"Jeremy Butler",68,"United States",Male,Single,3,420,12,12,New,Senior,143,35.0000,140.0000
"Clarence Anand",61,Germany,Male,Single,26,24624,15,15,VIP,Senior,145,1641.6000,947.0769
"Mayra Prasad",61,"United Kingdom",Female,Single,27,17559,24,24,VIP,Senior,151,731.6250,650.3333
"Latoya Goel",56,"United Kingdom",Female,Married,23,17274,18,18,VIP,Middle-aged,155,959.6667,751.0435
"Anne Hernandez",61,"United Kingdom",Female,Married,26,17442,15,15,VIP,Senior,151,1162.8000,670.8462
"Lisa Cai",51,France,Female,Single,13,14052,45,45,VIP,Middle-aged,146,312.2667,1080.9231
"Larry Munoz",62,France,Male,Married,14,13389,15,15,VIP,Senior,144,892.6000,956.3571
"Robin Alvarez",62,"United Kingdom",Female,Married,27,17505,18,18,VIP,Senior,150,972.5000,648.3333
"Alexis Coleman",57,"United Kingdom",Female,Single,29,17634,24,24,VIP,Middle-aged,149,734.7500,608.0690
"Ricky Vazquez",63,Germany,Male,Married,26,24414,9,9,VIP,Senior,144,2712.6667,939.0000
"Latasha Rubio",63,Germany,Female,Married,26,24624,15,15,VIP,Senior,144,1641.6000,947.0769
"Claudia Zhou",64,"United Kingdom",Female,Single,29,17730,24,24,VIP,Senior,148,738.7500,611.3793
"Tristan Alexander",59,France,Male,Married,0,72,3,3,New,Middle-aged,149,24.0000,NULL
"Cindy Patel",59,Germany,Female,Married,18,17439,18,18,VIP,Middle-aged,152,968.8333,968.8333
"Shannon Liu",59,"United Kingdom",Female,Married,28,17631,27,27,VIP,Middle-aged,148,653.0000,629.6786
"Xavier Long",87,Canada,Male,Single,0,6939,9,9,New,Senior,146,771.0000,NULL
"Nicholas Thompson",88,"United States",Male,Single,28,17748,12,12,VIP,Senior,144,1479.0000,633.8571
"Jos̩ Hernandez",76,Canada,Male,Married,9,1932,51,51,New,Senior,144,37.8824,214.6667
"Johnathan Vance",87,"United States",Male,Married,0,282,9,9,New,Senior,144,31.3333,NULL
"Colin Lin",87,"United States",Male,Married,1,420,12,12,New,Senior,152,35.0000,420.0000
"Katelyn Hernandez",86,"United States",Female,Married,0,210,6,6,New,Senior,152,35.0000,NULL
"Jacqueline Powell",NULL,"United States",Female,Single,27,17901,15,15,VIP,Senior,144,1193.4000,663.0000
"Victoria Stewart",55,"United States",Female,Married,27,17829,12,12,VIP,Middle-aged,144,1485.7500,660.3333
"Katelyn Kelly",49,"United States",Female,Married,0,210,6,6,New,Middle-aged,150,35.0000,NULL
"Stephanie Collins",55,"United States",Female,Married,15,17829,12,12,VIP,Middle-aged,155,1485.7500,1188.6000
"Jennifer Simmons",50,Canada,Female,Married,10,2430,69,69,New,Middle-aged,143,35.2174,243.0000
"Trinity Richardson",55,"United States",Female,Married,27,17976,15,15,VIP,Middle-aged,144,1198.4000,665.7778
"Eduardo Martin",56,"United States",Male,Single,10,7539,21,21,New,Middle-aged,144,359.0000,753.9000
"Elizabeth Jones",55,"United States",Female,Married,0,7095,9,9,New,Middle-aged,155,788.3333,NULL
"Taylor Howard",56,"United States",Female,Single,16,17748,12,12,VIP,Middle-aged,155,1479.0000,1109.2500
"David Diaz",50,"United States",Male,Single,15,17619,6,6,VIP,Middle-aged,155,2936.5000,1174.6000
"Katelyn Carter",56,"United States",Female,Married,0,210,6,6,New,Middle-aged,145,35.0000,NULL
"Robert Lee",50,"United States",Male,Married,15,17829,12,12,VIP,Middle-aged,155,1485.7500,1188.6000
"Danielle Reed",56,"United States",Female,Single,15,17904,12,12,VIP,Middle-aged,155,1492.0000,1193.6000
"Lauren Martinez",63,"United States",Female,Single,15,17694,6,6,VIP,Senior,155,2949.0000,1179.6000
"Nathan Lal",63,"United States",Male,Married,0,210,6,6,New,Senior,151,35.0000,NULL
"Kyle Foster",86,"United States",Male,Married,17,17619,6,6,VIP,Senior,154,2936.5000,1036.4118
"Jenny Rai",86,"United States",Female,Married,16,17904,12,12,VIP,Senior,155,1492.0000,1119.0000
"Nancy Chapman",51,Canada,Female,Married,11,1806,57,57,New,Middle-aged,143,31.6842,164.1818
"Charles Jackson",57,Canada,Male,Married,11,2232,72,72,New,Middle-aged,143,31.0000,202.9091
"Jonathan Phillips",56,"United States",Male,Single,15,17829,12,12,VIP,Middle-aged,155,1485.7500,1188.6000
"Robert Collins",56,"United States",Male,Married,0,210,6,6,New,Middle-aged,149,35.0000,NULL
"Megan Barnes",51,"United States",Female,Single,15,17694,6,6,VIP,Middle-aged,155,2949.0000,1179.6000
"Christian Thomas",58,"United States",Male,Married,16,17619,6,6,VIP,Middle-aged,155,2936.5000,1101.1875
"Hunter Griffin",58,"United States",Male,Married,15,17973,18,18,VIP,Middle-aged,155,998.5000,1198.2000
"Henry Garcia",59,Canada,Male,Married,11,1812,60,60,New,Middle-aged,143,30.2000,164.7273
"Cindy Sanchez",47,"United States",Female,Married,0,210,6,6,New,Middle-aged,148,35.0000,NULL
"Maria Carter",53,"United States",Female,Married,16,17619,6,6,VIP,Middle-aged,155,2936.5000,1101.1875
"Katelyn Sanchez",53,"United States",Female,Married,16,17904,12,12,VIP,Middle-aged,155,1492.0000,1119.0000
"Jenna Wright",53,"United States",Female,Married,16,17619,6,6,VIP,Middle-aged,155,2936.5000,1101.1875
"Seth Phillips",58,"United States",Male,Single,15,17619,6,6,VIP,Middle-aged,155,2936.5000,1174.6000
"Luke Long",65,"United States",Male,Single,0,210,6,6,New,Senior,154,35.0000,NULL
"Taylor Lewis",66,"United States",Female,Single,15,17694,6,6,VIP,Senior,155,2949.0000,1179.6000
"Haley Richardson",84,"United States",Female,Single,16,17619,6,6,VIP,Senior,155,2936.5000,1101.1875
"Noah Coleman",85,"United States",Male,Single,16,17829,12,12,VIP,Senior,154,1485.7500,1114.3125
"Jon Luo",85,"United States",Male,Married,17,17748,12,12,VIP,Senior,154,1479.0000,1044.0000
"Orlando Vazquez",84,"United States",Male,Married,16,17619,6,6,VIP,Senior,154,2936.5000,1101.1875
"Fernando Barnes",60,Canada,Male,Married,11,1974,63,63,New,Senior,143,31.3333,179.4545
"Cameron Rodriguez",60,"United States",Male,Married,0,210,6,6,New,Senior,146,35.0000,NULL
"Spencer Russell",54,"United States",Male,Single,16,17619,6,6,VIP,Middle-aged,154,2936.5000,1101.1875
"Julia Coleman",59,"United States",Female,Single,17,17619,6,6,VIP,Middle-aged,154,2936.5000,1036.4118
"Sean Evans",60,"United States",Male,Married,0,210,6,6,New,Senior,148,35.0000,NULL
"Hunter Rodriguez",60,"United States",Male,Married,17,17904,12,12,VIP,Senior,154,1492.0000,1053.1765
"Ian Gonzales",66,"United States",Male,Married,0,210,6,6,New,Senior,147,35.0000,NULL
"Erin Sanders",61,"United States",Female,Single,0,210,6,6,New,Senior,144,35.0000,NULL
"Gabrielle Lopez",66,"United States",Female,Single,0,210,6,6,New,Senior,152,35.0000,NULL
"Luke Allen",66,Canada,Male,Married,0,6885,3,3,New,Senior,155,2295.0000,NULL
"Victoria Russell",62,"United States",Female,Single,17,17619,6,6,VIP,Senior,154,2936.5000,1036.4118
"Jade Bailey",77,"United States",Female,Married,17,17829,12,12,VIP,Senior,154,1485.7500,1048.7647
"Jose Patterson",82,"United States",Male,Single,16,17619,6,6,VIP,Senior,154,2936.5000,1101.1875
"Zachary Anderson",81,"United States",Male,Married,16,17919,12,12,VIP,Senior,154,1493.2500,1119.9375
"Elijah Ross",81,"United States",Male,Single,16,17694,6,6,VIP,Senior,154,2949.0000,1105.8750
"Rafael Xie",81,"United States",Male,Married,17,17829,12,12,VIP,Senior,154,1485.7500,1048.7647
"Jaime Moreno",80,"United States",Male,Married,16,17619,6,6,VIP,Senior,154,2936.5000,1101.1875
"Julian Griffin",80,Canada,Male,Married,0,6960,3,3,New,Senior,155,2320.0000,NULL
"Andy Alvarez",79,"United States",Male,Single,16,17694,6,6,VIP,Senior,154,2949.0000,1105.8750
"Ryan Thompson",80,Canada,Male,Married,6,2628,81,81,New,Senior,144,32.4444,438.0000
"Samantha Jenkins",51,Canada,Female,Married,11,1392,48,48,New,Middle-aged,143,29.0000,126.5455
"Deanna Ramos",57,Germany,Female,Single,14,17370,12,12,VIP,Middle-aged,155,1447.5000,1240.7143
"Emily Miller",57,"United Kingdom",Female,Married,27,17370,12,12,VIP,Middle-aged,149,1447.5000,643.3333
"Nicole Brown",59,"United Kingdom",Female,Married,28,17370,12,12,VIP,Middle-aged,149,1447.5000,620.3571
"Carla Raman",48,Germany,Female,Married,14,17160,6,6,VIP,Middle-aged,155,2860.0000,1225.7143
